"類型","App 名稱","使用筆數","詳細資料"
"官方許可證名稱查無","貝萊斯芽孢桿菌BF","147","尚未解析，不可推論法規狀態"
"官方許可證名稱查無","液化澱粉芽孢桿菌Tcba05","30","尚未解析，不可推論法規狀態"
"官方許可證名稱查無","殺紋依得利","26","尚未解析，不可推論法規狀態"
"官方許可證名稱查無","枯草桿菌KHY8","14","尚未解析，不可推論法規狀態"
"官方許可證名稱查無","銅合硫磺","8","尚未解析，不可推論法規狀態"
"官方許可證名稱查無","波爾多","8","尚未解析，不可推論法規狀態"
"官方許可證名稱查無","達滅克絕","8","尚未解析，不可推論法規狀態"
"官方許可證名稱查無","液化澱粉芽孢桿菌CL3","5","尚未解析，不可推論法規狀態"
"官方許可證名稱查無","因汀氟滅","4","尚未解析，不可推論法規狀態"
"官方許可證名稱查無","苦參鹼","4","尚未解析，不可推論法規狀態"
"官方許可證名稱查無","小菜蛾性費洛蒙","3","尚未解析，不可推論法規狀態"
"官方許可證名稱查無","白殭菌A1","3","尚未解析，不可推論法規狀態"
"官方許可證名稱查無","克蠅香","3","尚未解析，不可推論法規狀態"
"官方許可證名稱查無","液化澱粉芽孢桿菌Ba-BPD1","3","尚未解析，不可推論法規狀態"
"官方許可證名稱查無","硫黃芬胺","2","尚未解析，不可推論法規狀態"
"官方許可證名稱查無","滅芬百速隆","2","尚未解析，不可推論法規狀態"
"官方許可證名稱查無","發光光桿菌0805-P2R","1","尚未解析，不可推論法規狀態"
"官方許可證名稱查無","賽氟菲克利","1","尚未解析，不可推論法規狀態"
"官方許可證名稱查無","嘉賜圃","1","尚未解析，不可推論法規狀態"
"官方許可證名稱查無","果收生長素","1","尚未解析，不可推論法規狀態"
"官方許可證名稱查無","貝萊斯芽孢桿菌N17","1","尚未解析，不可推論法規狀態"
"官方許可證名稱查無","待克三元銅","1","尚未解析，不可推論法規狀態"
"英文有效成分未對到","賽洛寧","1042","LAMBDA-CYHALOTHRIN"
"英文有效成分未對到","礦物油","137","PETROLEUM OIL"
"英文有效成分未對到","氫氧化銅","58","COPPER HYDROXIDE"
"英文有效成分未對到","鋅錳乃浦","56","MANCOZEB"
"英文有效成分未對到","甲基多保淨","50","THIOPHANATE-METHYL"
"英文有效成分未對到","鮎澤蘇力菌ABTS-1857","38","BACILLUS THURINGIENSIS SUBSP. AIZAWAI STRAIN ABTS-1857"
"英文有效成分未對到","鋅錳座賽胺","33","MANCOZEB"
"英文有效成分未對到","維利黴素","33","VALIDAMYCIN"
"英文有效成分未對到","亞滅寧","33","ALPHA-CYPERMETHRIN"
"英文有效成分未對到","斜紋夜蛾費洛蒙","31","SPODOPTERA LITURA SEX PHEROMONE"
"英文有效成分未對到","庫斯蘇力菌ABTS-351","31","BACILLUS THURINGIENSIS SUBSP. KURSTAKI STRAIN ABTS-351"
"英文有效成分未對到","克熱淨(烷苯磺酸鹽)","31","IMINOCTADINE TRIS(ALBESILATE)"
"英文有效成分未對到","免得爛","29","METIRAM"
"英文有效成分未對到","甜菜夜蛾費洛蒙","28","SEX PHEROMONES OF SPODOPTERA EXIQUA"
"英文有效成分未對到","鮎澤蘇力菌NB-200","27","BACILLUS THURINGIENSIS SUBSP. AIZAWAI STRAIN NB-200"
"英文有效成分未對到","免賴得","26","BENOMYL"
"英文有效成分未對到","銅右滅達樂","24","METALAXYL-M"
"英文有效成分未對到","錳乃浦","24","MANEB"
"英文有效成分未對到","鋅錳克絕","24","MANCOZEB"
"英文有效成分未對到","賽速洛寧","23","LAMBDA-CYHALOTHRIN"
"英文有效成分未對到","貝他-賽扶寧","22","BETA-CYFLUTHRIN"
"英文有效成分未對到","嘉磷塞異丙胺鹽","21","GLYPHOSATE IPA"
"英文有效成分未對到","蓋棘木黴菌ICC080/012","20","TRICHODERMA GAMSII ICC 080 + TRICHODERMA ASPERELLUM ICC 012"
"英文有效成分未對到","福化利","20","TAU-FLUVALINATE"
"英文有效成分未對到","快伏草","19","QUIZALOFOP-P-ETHYL"
"英文有效成分未對到","庫斯蘇力菌E-911","18","BACILLUS THURINGIENSIS SUBSP. KURSTAKI STRAIN E-911"
"英文有效成分未對到","庫斯蘇力菌SA-12","18","BACILLUS THURINGIENSIS SUBSP. KURSTAKI STRAIN SA-12"
"英文有效成分未對到","枯草桿菌Y1336","17","BACILLUS SUBTILIS Y1336"
"英文有效成分未對到","庫斯蘇力菌SA-11","14","BACILLUS THURINGIENSIS SUBSP. KURSTAKI STRAIN SA-11"
"英文有效成分未對到","賽洛安勃","13","LAMBDA-CYHALOTHRIN"
"英文有效成分未對到","右滅達樂","13","METALAXYL-M"
"英文有效成分未對到","多保鏈黴素","12","THIOPHANATE-METHYL"
"英文有效成分未對到","甲基鋅乃浦","11","PROPINEB"
"英文有效成分未對到","免得克敏","11","METIRAM"
"英文有效成分未對到","碳酸氫鉀","11","POTASSIUM HYDROGENCARBONATE"
"英文有效成分未對到","鋅錳滅達樂","10","MANCOZEB"
"英文有效成分未對到","克熱淨","10","IMINOCTADINE TRIACETATE"
"英文有效成分未對到","益洛寧","10","LAMBDA-CYHALOTHRIN"
"英文有效成分未對到","撲克拉錳","9","PROCHLORAZ-MANGANESE"
"英文有效成分未對到","本達亞喜芬","8","BENTAZON"
"英文有效成分未對到","克凡洛寧","8","LAMBDA-CYHALOTHRIN"
"英文有效成分未對到","福賽亞汰尼","8","FOSETYL-ALUMINIUM"
"英文有效成分未對到","得恩地","8","THIRAM"
"英文有效成分未對到","快得保淨","5","THIOPHANATE-METHYL"
"英文有效成分未對到","嘉磷塞 (胺鹽 )","5","GLYPHOSATE AMMONIUM"
"英文有效成分未對到","保粒黴素 丁","5","POLYOXORIM"
"英文有效成分未對到","鹼氯氫氧銅","5","COPPER HYDROXIDE"
"英文有效成分未對到","綠木黴菌R42","4","TRICHODERMA VIRENS STRAIN R42"
"英文有效成分未對到","左旋莫多草","4","S-METOLACHLOR"
"英文有效成分未對到","銅快得寧","4","COPPER HYDROXIDE"
"英文有效成分未對到","邁隆","4","DAZOMET"
"英文有效成分未對到","移植生長素","4","NAD"
"英文有效成分未對到","甜菜夜蛾核多角體病毒","4","SPODOPTERA EXIGUA NUCLEOPOLYHEDROVIRUS"
"英文有效成分未對到","磷化鎂","3","MAGNESIUM PHOSPHIDE"
"英文有效成分未對到","本達隆","3","BENTAZON"
"英文有效成分未對到","四氯保淨","3","THIOPHANATE-METHYL"
"英文有效成分未對到","硫酸快得寧","3","COPPER SULPHATE"
"英文有效成分未對到","四氯賽得","3","FOSETYL AL"
"英文有效成分未對到","克美素","3","CHLORMEQUAT CHLORIDE"
"英文有效成分未對到","氟比賽得","2","FOSETYL-ALUMINIUM"
"英文有效成分未對到","益化利","2","ESFENVALERATE"
"英文有效成分未對到","四氯右滅達樂","2","METALAXYL-M"
"英文有效成分未對到","萘乙酸鈉","2","NAA-SODIUM"
"英文有效成分未對到","納得亞滅寧","2","ALPHA-CYPERMETHRIN"
"英文有效成分未對到","氟氯比","2","FLUROXYPYR-MEPTYL"
"英文有效成分未對到","艾維激素","2","AMINOETHOXYVINYLGLYCINE HYDROCHLORIDE"
"英文有效成分未對到","保粒快得寧","2","POLYOXIN B"
"英文有效成分未對到","克熱賜圃","2","IMINOCTADINE TRIACETATE"
"英文有效成分未對到","蕈狀芽孢桿菌AGB01","2","BACILLUS MYCOIDES AGB01"
"英文有效成分未對到","鮎澤蘇力菌GC-91","2","BACILLUS THURINGIENSIS SUBSP. AIZAWAI STRAIN GC-91"
"英文有效成分未對到","福芬素","2","FORCHLORFENURON"
"英文有效成分未對到","保粒保淨","2","THIOPHANATE-METHYL"
"英文有效成分未對到","克絕波爾多","2","BORDEAUX"
"英文有效成分未對到","鮎澤蘇力菌Ab12","2","BACILLUS THURINGIENSIS SUBSP. AIZAWAI STRAIN AB12"
"英文有效成分未對到","貝萊斯芽孢桿菌 BACY","2","BACILLUS VELEZENSIS BACY"
"英文有效成分未對到","甲鋅保粒素","2","PROPINEB + POLYOXIN B"
"英文有效成分未對到","美賜平","1","S-METHOPRENE"
"英文有效成分未對到","伏滅鼠","1","FLOCOUMAFEN"
"英文有效成分未對到","可滅鼠","1","BRODIFACOUM"
"英文有效成分未對到","含毒甲基丁香油","1","METHYL EUGENOL-NALED"
"英文有效成分未對到","布芬益化利","1","ESFENVALERATE"
"英文有效成分未對到","貝萊斯芽孢桿菌WG6-14","1","BACILLUS VELEZENSIS WG6-14"
"英文有效成分未對到","耐克螺","1","NICLOSAMIDE"
"英文有效成分未對到","丁拉汰草","1","DAIMURON"
"英文有效成分未對到","本達快克草","1","BENTAZON"
"英文有效成分未對到","汰硫免速隆","1","BENSULFURON METHYL"
"英文有效成分未對到","汰草龍","1","DAIMURON"
"英文有效成分未對到","滅芬免速隆","1","BENSULFURONMETHYL"
"英文有效成分未對到","甲鋅保淨","1","PROPINEB + THIOPHANATE-METHYL"
"英文有效成分未對到","賽福保淨","1","THIOPHANATE-METHYL"
"英文有效成分未對到","銅合腐絕","1","COPPER HYDROXIDE"
"英文有效成分未對到","二、四－地胺鹽","1","2,4-D(AMINE)"
"英文有效成分未對到","二、四－地鈉鹽","1","2,4-D(SODIUM)"
"英文有效成分未對到","生長寧素","1","NAA + KINETIN"
"英文有效成分未對到","傑他賽滅寧","1","ZETA-CYPERMETHRIN"
"英文有效成分未對到","畢克草","1","CLOPYRALID"
"英文有效成分未對到","普拔草","1","PROPAQUIZAFOP"
"英文有效成分未對到","番茄生長素","1","4-CPA"
"英文有效成分未對到","伽瑪賽洛寧","1","GAMMA-CYHALOTHRIN"
"英文有效成分未對到","合速隆","1","HALOSULFURON-METHYL"
"英文有效成分未對到","單克素","1","UNICONAZOLE-P"
"英文有效成分未對到","開寧激素","1","KINETIN"
"英文有效成分未對到","氰滿素","1","CYANAMIDE"
"英文有效成分未對到","鋅錳右本達樂","1","MANCOZEB + BENALAXYL-M"
"英文有效成分未對到","鋅錳本達樂","1","MANCOZEB"
"英文有效成分未對到","鋅錳曼普胺","1","MANCOZEB"
"英文有效成分未對到","勃寧激素","1","GIBBERELLIN A4 WITH A7 + 6-BENZYLAMINOPURINE"
"英文有效成分未對到","亞培松","1","TEMEPHOS"
"英文有效成分未對到","百里酚","1","THYMOL"
"英文有效成分未對到","左固殺草","1","GLUFOSINATE-P"
"作物尚未分類","不結球萵苣與半結球萵苣","","可能需對到官方分類，或屬非食用／非作物項目"
"作物尚未分類","丹參","","可能需對到官方分類，或屬非食用／非作物項目"
"作物尚未分類","亞洲棕櫚","","可能需對到官方分類，或屬非食用／非作物項目"
"作物尚未分類","亞麻","","可能需對到官方分類，或屬非食用／非作物項目"
"作物尚未分類","人心果","","可能需對到官方分類，或屬非食用／非作物項目"
"作物尚未分類","休閒地","","可能需對到官方分類，或屬非食用／非作物項目"
"作物尚未分類","作物園","","可能需對到官方分類，或屬非食用／非作物項目"
"作物尚未分類","倉庫","","可能需對到官方分類，或屬非食用／非作物項目"
"作物尚未分類","刺桐屬植物","","可能需對到官方分類，或屬非食用／非作物項目"
"作物尚未分類","十字花科乾豆類","","可能需對到官方分類，或屬非食用／非作物項目"
"作物尚未分類","十字花科根菜類","","可能需對到官方分類，或屬非食用／非作物項目"
"作物尚未分類","可可","","可能需對到官方分類，或屬非食用／非作物項目"
"作物尚未分類","向日葵","","可能需對到官方分類，或屬非食用／非作物項目"
"作物尚未分類","咖啡","","可能需對到官方分類，或屬非食用／非作物項目"
"作物尚未分類","唇形花科小葉菜類","","可能需對到官方分類，或屬非食用／非作物項目"
"作物尚未分類","唐菖蒲","","可能需對到官方分類，或屬非食用／非作物項目"
"作物尚未分類","嘉寶果","","可能需對到官方分類，或屬非食用／非作物項目"
"作物尚未分類","嘉德麗雅蘭","","可能需對到官方分類，或屬非食用／非作物項目"
"作物尚未分類","土肉桂","","可能需對到官方分類，或屬非食用／非作物項目"
"作物尚未分類","地黃","","可能需對到官方分類，或屬非食用／非作物項目"
"作物尚未分類","太平洋榅桲","","可能需對到官方分類，或屬非食用／非作物項目"
"作物尚未分類","婆羅門參","","可能需對到官方分類，或屬非食用／非作物項目"
"作物尚未分類","山茶","","可能需對到官方分類，或屬非食用／非作物項目"
"作物尚未分類","山茶科茶類","","可能需對到官方分類，或屬非食用／非作物項目"
"作物尚未分類","山防風","","可能需對到官方分類，或屬非食用／非作物項目"
"作物尚未分類","康乃馨","","可能需對到官方分類，或屬非食用／非作物項目"
"作物尚未分類","愛玉子","","可能需對到官方分類，或屬非食用／非作物項目"
"作物尚未分類","旋花科小葉菜類","","可能需對到官方分類，或屬非食用／非作物項目"
"作物尚未分類","旋花科根菜類","","可能需對到官方分類，或屬非食用／非作物項目"
"作物尚未分類","晚香玉","","可能需對到官方分類，或屬非食用／非作物項目"
"作物尚未分類","木虌果","","可能需對到官方分類，或屬非食用／非作物項目"
"作物尚未分類","松樹","","可能需對到官方分類，或屬非食用／非作物項目"
"作物尚未分類","果樹","","可能需對到官方分類，或屬非食用／非作物項目"
"作物尚未分類","果苗","","可能需對到官方分類，或屬非食用／非作物項目"
"作物尚未分類","柿樹科梨果類","","可能需對到官方分類，或屬非食用／非作物項目"
"作物尚未分類","根菜類","","可能需對到官方分類，或屬非食用／非作物項目"
"作物尚未分類","桉屬植物","","可能需對到官方分類，或屬非食用／非作物項目"
"作物尚未分類","桑樹","","可能需對到官方分類，或屬非食用／非作物項目"
"作物尚未分類","桑科大漿果類","","可能需對到官方分類，或屬非食用／非作物項目"
"作物尚未分類","桑科小漿果類","","可能需對到官方分類，或屬非食用／非作物項目"
"作物尚未分類","棉","","可能需對到官方分類，或屬非食用／非作物項目"
"作物尚未分類","樹木","","可能需對到官方分類，或屬非食用／非作物項目"
"作物尚未分類","樹豆","","可能需對到官方分類，或屬非食用／非作物項目"
"作物尚未分類","檬果","","可能需對到官方分類，或屬非食用／非作物項目"
"作物尚未分類","檳榔","","可能需對到官方分類，或屬非食用／非作物項目"
"作物尚未分類","油茶","","可能需對到官方分類，或屬非食用／非作物項目"
"作物尚未分類","洋桔梗","","可能需對到官方分類，或屬非食用／非作物項目"
"作物尚未分類","火鶴花","","可能需對到官方分類，或屬非食用／非作物項目"
"作物尚未分類","無患子科核果類","","可能需對到官方分類，或屬非食用／非作物項目"
"作物尚未分類","特用","","可能需對到官方分類，或屬非食用／非作物項目"
"作物尚未分類","狗尾草","","可能需對到官方分類，或屬非食用／非作物項目"
"作物尚未分類","狼尾草","","可能需對到官方分類，或屬非食用／非作物項目"
"作物尚未分類","獼猴桃","","可能需對到官方分類，或屬非食用／非作物項目"
"作物尚未分類","甜菜","","可能需對到官方分類，或屬非食用／非作物項目"
"作物尚未分類","當歸","","可能需對到官方分類，或屬非食用／非作物項目"
"作物尚未分類","百合","","可能需對到官方分類，或屬非食用／非作物項目"
"作物尚未分類","百慕達草","","可能需對到官方分類，或屬非食用／非作物項目"
"作物尚未分類","睡蓮","","可能需對到官方分類，或屬非食用／非作物項目"
"作物尚未分類","破布子","","可能需對到官方分類，或屬非食用／非作物項目"
"作物尚未分類","禾本科雜糧類","","可能需對到官方分類，或屬非食用／非作物項目"
"作物尚未分類","稻穀","","可能需對到官方分類，或屬非食用／非作物項目"
"作物尚未分類","穀倉","","可能需對到官方分類，或屬非食用／非作物項目"
"作物尚未分類","竹","","可能需對到官方分類，或屬非食用／非作物項目"
"作物尚未分類","紅龍果","","可能需對到官方分類，或屬非食用／非作物項目"
"作物尚未分類","結縷草","","可能需對到官方分類，或屬非食用／非作物項目"
"作物尚未分類","繖形花科小葉菜類","","可能需對到官方分類，或屬非食用／非作物項目"
"作物尚未分類","繖形花科根菜類","","可能需對到官方分類，或屬非食用／非作物項目"
"作物尚未分類","胡麻","","可能需對到官方分類，或屬非食用／非作物項目"
"作物尚未分類","臺灣欒樹","","可能需對到官方分類，或屬非食用／非作物項目"
"作物尚未分類","臺灣藜","","可能需對到官方分類，或屬非食用／非作物項目"
"作物尚未分類","芋","","可能需對到官方分類，或屬非食用／非作物項目"
"作物尚未分類","花木","","可能需對到官方分類，或屬非食用／非作物項目"
"作物尚未分類","花豆","","可能需對到官方分類，或屬非食用／非作物項目"
"作物尚未分類","茄科小葉菜類","","可能需對到官方分類，或屬非食用／非作物項目"
"作物尚未分類","茄科果菜類","","可能需對到官方分類，或屬非食用／非作物項目"
"作物尚未分類","茄科根菜類","","可能需對到官方分類，或屬非食用／非作物項目"
"作物尚未分類","茉莉","","可能需對到官方分類，或屬非食用／非作物項目"
"作物尚未分類","茴香","","可能需對到官方分類，或屬非食用／非作物項目"
"作物尚未分類","草皮","","可能需對到官方分類，或屬非食用／非作物項目"
"作物尚未分類","荖藤","","可能需對到官方分類，或屬非食用／非作物項目"
"作物尚未分類","莧科小葉菜類","","可能需對到官方分類，或屬非食用／非作物項目"
"作物尚未分類","菊","","可能需對到官方分類，或屬非食用／非作物項目"
"作物尚未分類","菊科乾豆類","","可能需對到官方分類，或屬非食用／非作物項目"
"作物尚未分類","菊科包葉菜類","","可能需對到官方分類，或屬非食用／非作物項目"
"作物尚未分類","菊科小葉菜類","","可能需對到官方分類，或屬非食用／非作物項目"
"作物尚未分類","菊科根菜類","","可能需對到官方分類，或屬非食用／非作物項目"
"作物尚未分類","菠蘿蜜","","可能需對到官方分類，或屬非食用／非作物項目"
"作物尚未分類","菸草倉庫","","可能需對到官方分類，或屬非食用／非作物項目"
"作物尚未分類","萬代蘭","","可能需對到官方分類，或屬非食用／非作物項目"
"作物尚未分類","葫蘆科小葉菜類","","可能需對到官方分類，或屬非食用／非作物項目"
"作物尚未分類","蒟蒻","","可能需對到官方分類，或屬非食用／非作物項目"
"作物尚未分類","蓖麻","","可能需對到官方分類，或屬非食用／非作物項目"
"作物尚未分類","蓮","","可能需對到官方分類，或屬非食用／非作物項目"
"作物尚未分類","蔥","","可能需對到官方分類，或屬非食用／非作物項目"
"作物尚未分類","蔥科小葉菜類","","可能需對到官方分類，或屬非食用／非作物項目"
"作物尚未分類","蔥科根菜類","","可能需對到官方分類，或屬非食用／非作物項目"
"作物尚未分類","蔥韭","","可能需對到官方分類，或屬非食用／非作物項目"
"作物尚未分類","蔬菜","","可能需對到官方分類，或屬非食用／非作物項目"
"作物尚未分類","薏苡","","可能需對到官方分類，或屬非食用／非作物項目"
"作物尚未分類","薔薇科梨果類","","可能需對到官方分類，或屬非食用／非作物項目"
"作物尚未分類","藜科小葉菜類","","可能需對到官方分類，或屬非食用／非作物項目"
"作物尚未分類","藜科根菜類","","可能需對到官方分類，或屬非食用／非作物項目"
"作物尚未分類","蘇鐵","","可能需對到官方分類，或屬非食用／非作物項目"
"作物尚未分類","蘭","","可能需對到官方分類，或屬非食用／非作物項目"
"作物尚未分類","蘭科作物","","可能需對到官方分類，或屬非食用／非作物項目"
"作物尚未分類","虱目魚塭","","可能需對到官方分類，或屬非食用／非作物項目"
"作物尚未分類","蛇麻","","可能需對到官方分類，或屬非食用／非作物項目"
"作物尚未分類","蛋黃果","","可能需對到官方分類，或屬非食用／非作物項目"
"作物尚未分類","蜜蜂","","可能需對到官方分類，或屬非食用／非作物項目"
"作物尚未分類","觀賞植物","","可能需對到官方分類，或屬非食用／非作物項目"
"作物尚未分類","豆科乾豆類","","可能需對到官方分類，或屬非食用／非作物項目"
"作物尚未分類","豆科小葉菜類","","可能需對到官方分類，或屬非食用／非作物項目"
"作物尚未分類","豆科根菜類","","可能需對到官方分類，或屬非食用／非作物項目"
"作物尚未分類","豆科豆菜類","","可能需對到官方分類，或屬非食用／非作物項目"
"作物尚未分類","豇豆","","可能需對到官方分類，或屬非食用／非作物項目"
"作物尚未分類","輸入植物檢疫物","","可能需對到官方分類，或屬非食用／非作物項目"
"作物尚未分類","造林地","","可能需對到官方分類，或屬非食用／非作物項目"
"作物尚未分類","野薑","","可能需對到官方分類，或屬非食用／非作物項目"
"作物尚未分類","金線連","","可能需對到官方分類，或屬非食用／非作物項目"
"作物尚未分類","銀柳","","可能需對到官方分類，或屬非食用／非作物項目"
"作物尚未分類","錦葵科果菜類","","可能需對到官方分類，或屬非食用／非作物項目"
"作物尚未分類","鐘麻","","可能需對到官方分類，或屬非食用／非作物項目"
"作物尚未分類","闊葉大豆","","可能需對到官方分類，或屬非食用／非作物項目"
"作物尚未分類","非耕作農地","","可能需對到官方分類，或屬非食用／非作物項目"
"作物尚未分類","韭","","可能需對到官方分類，或屬非食用／非作物項目"
"作物尚未分類","風茹","","可能需對到官方分類，或屬非食用／非作物項目"
"作物尚未分類","鳳仙","","可能需對到官方分類，或屬非食用／非作物項目"
"作物尚未分類","麥蔥","","可能需對到官方分類，或屬非食用／非作物項目"
"作物尚未分類","黃耆","","可能需對到官方分類，或屬非食用／非作物項目"
"作物尚未分類","黃麻","","可能需對到官方分類，或屬非食用／非作物項目"
"作物尚未分類","黑婆羅門參","","可能需對到官方分類，或屬非食用／非作物項目"
"作物尚未分類","鼠李科梨果類","","可能需對到官方分類，或屬非食用／非作物項目"
"作物尚未分類","龍葵","","可能需對到官方分類，或屬非食用／非作物項目"
"作物尚未分類","龍骨瓣莕菜","","可能需對到官方分類，或屬非食用／非作物項目"