中文普通名稱,登記用途數,類型,許可證英文名稱,有效成分(英文),該成分比對結果,對應項目,法規依據,整筆是否全部可對應
"鋅錳座賽胺",33,"混合劑","MANCOZEB + ZOXAMIDE","MANCOZEB","法規備註已涵蓋","二硫代胺基甲酸鹽類","註一","是"
"鋅錳座賽胺",33,"混合劑","MANCOZEB + ZOXAMIDE","ZOXAMIDE","附表一有訂容許量","座賽胺（Zoxamide）","","是"
"銅右滅達樂",24,"混合劑","COPPER OXYCHLORIDE + METALAXYL-M","COPPER OXYCHLORIDE","得免訂定容許量","鹼性氯氧化銅","","是"
"銅右滅達樂",24,"混合劑","COPPER OXYCHLORIDE + METALAXYL-M","METALAXYL-M","法規備註已涵蓋","滅達樂","註四之4","是"
"鋅錳克絕",24,"混合劑","CYMOXANIL + MANCOZEB","CYMOXANIL","附表一有訂容許量","克絕（Cymoxanil）","","是"
"鋅錳克絕",24,"混合劑","CYMOXANIL + MANCOZEB","MANCOZEB","法規備註已涵蓋","二硫代胺基甲酸鹽類","註一","是"
"賽速洛寧",23,"混合劑","LAMBDA-CYHALOTHRIN + THIAMETHOXAM","LAMBDA-CYHALOTHRIN","英文不同但中文通用名相同","賽洛寧（附表一作 Cyhalothrin）","待釐清：應以中文通用名或英文名為準","是"
"賽速洛寧",23,"混合劑","LAMBDA-CYHALOTHRIN + THIAMETHOXAM","THIAMETHOXAM","附表一有訂容許量","賽速安（Thiamethoxam）","","是"
"嘉磷塞異丙胺鹽",21,"單一成分","GLYPHOSATE IPA","GLYPHOSATE IPA","查無對應","","","否"
"蓋棘木黴菌ICC080/012",20,"混合劑","TRICHODERMA GAMSII ICC 080+TRICHODERMA ASPERELLUM ICC 012","TRICHODERMA GAMSII ICC 080","查無對應","","","否"
"蓋棘木黴菌ICC080/012",20,"混合劑","TRICHODERMA GAMSII ICC 080+TRICHODERMA ASPERELLUM ICC 012","TRICHODERMA ASPERELLUM ICC 012","查無對應","","","否"
"賽洛安勃",13,"混合劑","LAMBDA-CYHALOTHRIN + CHLORANTRANILIPROLE","LAMBDA-CYHALOTHRIN","英文不同但中文通用名相同","賽洛寧（附表一作 Cyhalothrin）","待釐清：應以中文通用名或英文名為準","是"
"賽洛安勃",13,"混合劑","LAMBDA-CYHALOTHRIN + CHLORANTRANILIPROLE","CHLORANTRANILIPROLE","附表一有訂容許量","剋安勃（Chlorantraniliprole）","","是"
"免得克敏",11,"混合劑","METIRAM+PYRACLOSTROBIN","METIRAM","法規備註已涵蓋","二硫代胺基甲酸鹽類","註一","是"
"免得克敏",11,"混合劑","METIRAM+PYRACLOSTROBIN","PYRACLOSTROBIN","附表一有訂容許量","百克敏（Pyraclostrobin）","","是"
"鋅錳滅達樂",10,"混合劑","MANCOZEB + METALAXYL","MANCOZEB","法規備註已涵蓋","二硫代胺基甲酸鹽類","註一","是"
"鋅錳滅達樂",10,"混合劑","MANCOZEB + METALAXYL","METALAXYL","附表一有訂容許量","滅達樂（Metalaxyl）","","是"
"益洛寧",10,"混合劑","LAMBDA-CYHALOTHRIN + PHOSMET","LAMBDA-CYHALOTHRIN","英文不同但中文通用名相同","賽洛寧（附表一作 Cyhalothrin）","待釐清：應以中文通用名或英文名為準","是"
"益洛寧",10,"混合劑","LAMBDA-CYHALOTHRIN + PHOSMET","PHOSMET","附表一有訂容許量","益滅松（Phosmet）","","是"
"撲克拉錳",9,"單一成分","PROCHLORAZ-MANGANESE","PROCHLORAZ-MANGANESE","查無對應","","","否"
"銅合硫磺",8,"英文名欄位為空","","","英文名欄位為空","","","否"
"本達亞喜芬",8,"混合劑","BENTAZON + ACIFLUORFEN","BENTAZON","英文不同但中文通用名相同","本達隆（附表一作 Bentazone）","待釐清：應以中文通用名或英文名為準","是"
"本達亞喜芬",8,"混合劑","BENTAZON + ACIFLUORFEN","ACIFLUORFEN","附表一有訂容許量","亞喜芬（Acifluorfen）","","是"
"福賽亞汰尼",8,"混合劑","FOSETYL-ALUMINIUM + ISOTIANIL","FOSETYL-ALUMINIUM","查無對應","","","否"
"福賽亞汰尼",8,"混合劑","FOSETYL-ALUMINIUM + ISOTIANIL","ISOTIANIL","附表一有訂容許量","亞汰尼（Isotianil）","","否"
"波爾多",8,"英文名欄位為空","","","英文名欄位為空","","","否"
"克凡洛寧",8,"混合劑","CHLORFENAPYR + LAMBDA-CYHALOTHRIN","CHLORFENAPYR","附表一有訂容許量","克凡派（Chlorfenapyr）","","是"
"克凡洛寧",8,"混合劑","CHLORFENAPYR + LAMBDA-CYHALOTHRIN","LAMBDA-CYHALOTHRIN","英文不同但中文通用名相同","賽洛寧（附表一作 Cyhalothrin）","待釐清：應以中文通用名或英文名為準","是"
"嘉磷塞 (胺鹽 )",5,"單一成分","GLYPHOSATE AMMONIUM","GLYPHOSATE AMMONIUM","查無對應","","","否"
"快得保淨",5,"混合劑","THIOPHANATE-METHYL + OXINE-COPPER","THIOPHANATE-METHYL","法規備註已涵蓋","貝芬替","註二","是"
"快得保淨",5,"混合劑","THIOPHANATE-METHYL + OXINE-COPPER","OXINE-COPPER","附表一有訂容許量","快得寧（Oxine-copper）","","是"
"鹼氯氫氧銅",5,"混合劑","COPPER OXYCHLORIDE + COPPER HYDROXIDE","COPPER OXYCHLORIDE","得免訂定容許量","鹼性氯氧化銅","","否"
"鹼氯氫氧銅",5,"混合劑","COPPER OXYCHLORIDE + COPPER HYDROXIDE","COPPER HYDROXIDE","查無對應","","","否"
"綠木黴菌R42",4,"單一成分","Trichoderma virens strain R42","Trichoderma virens strain R42","查無對應","","","否"
"銅快得寧",4,"混合劑","OXINE-COPPER + COPPER HYDROXIDE","OXINE-COPPER","附表一有訂容許量","快得寧（Oxine-copper）","","否"
"銅快得寧",4,"混合劑","OXINE-COPPER + COPPER HYDROXIDE","COPPER HYDROXIDE","查無對應","","","否"
"苦參鹼",4,"單一成分","MATRINE","MATRINE","查無對應","","","否"
"甜菜夜蛾核多角體病毒",4,"單一成分","SPODOPTERA EXIGUA NUCLEOPOLYHEDROVIRUS","SPODOPTERA EXIGUA NUCLEOPOLYHEDROVIRUS","查無對應","","","否"
"邁隆",4,"單一成分","DAZOMET","DAZOMET","查無對應","","","否"
"移植生長素",4,"單一成分","NAD","NAD","查無對應","","","否"
"小菜蛾性費洛蒙",3,"英文名欄位為空","","","英文名欄位為空","","","否"
"硫酸快得寧",3,"混合劑","OXINE-COPPER + COPPER SULPHATE","OXINE-COPPER","附表一有訂容許量","快得寧（Oxine-copper）","","否"
"硫酸快得寧",3,"混合劑","OXINE-COPPER + COPPER SULPHATE","COPPER SULPHATE","查無對應","","","否"
"克蠅香",3,"英文名欄位為空","","","英文名欄位為空","","","否"
"四氯保淨",3,"混合劑","THIOPHANATE-METHYL + CHLOROTHALONIL","THIOPHANATE-METHYL","法規備註已涵蓋","貝芬替","註二","是"
"四氯保淨",3,"混合劑","THIOPHANATE-METHYL + CHLOROTHALONIL","CHLOROTHALONIL","附表一有訂容許量","四氯異苯?（Chlorothalonil）","","是"
"四氯賽得",3,"混合劑","CHLOROTHALONIL + FOSETYL AL","CHLOROTHALONIL","附表一有訂容許量","四氯異苯?（Chlorothalonil）","","是"
"四氯賽得",3,"混合劑","CHLOROTHALONIL + FOSETYL AL","FOSETYL AL","附表一有訂容許量","福賽得（Fosetyl-Al）","","是"
"四氯右滅達樂",2,"混合劑","CHLOROTHALONIL + METALAXYL-M","CHLOROTHALONIL","附表一有訂容許量","四氯異苯?（Chlorothalonil）","","是"
"四氯右滅達樂",2,"混合劑","CHLOROTHALONIL + METALAXYL-M","METALAXYL-M","法規備註已涵蓋","滅達樂","註四之4","是"
"保粒快得寧",2,"混合劑","POLYOXIN B + OXINE-COPPER","POLYOXIN B","查無對應","","","否"
"保粒快得寧",2,"混合劑","POLYOXIN B + OXINE-COPPER","OXINE-COPPER","附表一有訂容許量","快得寧（Oxine-copper）","","否"
"蕈狀芽孢桿菌AGB01",2,"單一成分","BACILLUS MYCOIDES AGB01","BACILLUS MYCOIDES AGB01","查無對應","","","否"
"克絕波爾多",2,"混合劑","CYMOXANIL + BORDEAUX","CYMOXANIL","附表一有訂容許量","克絕（Cymoxanil）","","否"
"克絕波爾多",2,"混合劑","CYMOXANIL + BORDEAUX","BORDEAUX","查無對應","","","否"
"氟比賽得",2,"混合劑","FOSETYL-ALUMINIUM + FLUOPICOLIDE","FOSETYL-ALUMINIUM","查無對應","","","否"
"氟比賽得",2,"混合劑","FOSETYL-ALUMINIUM + FLUOPICOLIDE","FLUOPICOLIDE","附表一有訂容許量","氟比來（Fluopicolide）","","否"
"硫黃芬胺",2,"混合劑","cyflufenamid＋sulfur","cyflufenamid","附表一有訂容許量","賽芬胺（Cyflufenamid）","","是"
"硫黃芬胺",2,"混合劑","cyflufenamid＋sulfur","sulfur","得免訂定容許量","可濕性硫黃","","是"
"納得亞滅寧",2,"混合劑","METHOMYL + ALPHA-CYPERMETHRIN","METHOMYL","附表一有訂容許量","納乃得（Methomyl）","","是"
"納得亞滅寧",2,"混合劑","METHOMYL + ALPHA-CYPERMETHRIN","ALPHA-CYPERMETHRIN","法規備註已涵蓋","賽滅寧","註四之1","是"
"克熱賜圃",2,"混合劑","IMINOCTADINE TRIACETATE + ISOPROTHIOLANE","IMINOCTADINE TRIACETATE","法規備註已涵蓋","克熱淨(醋酸鹽或烷苯磺酸鹽)","註三","是"
"克熱賜圃",2,"混合劑","IMINOCTADINE TRIACETATE + ISOPROTHIOLANE","ISOPROTHIOLANE","附表一有訂容許量","亞賜圃（Isoprothiolane）","","是"
"福芬素",2,"單一成分","FORCHLORFENURON","FORCHLORFENURON","查無對應","","","否"
"保粒保淨",2,"混合劑","POLYOXINS + THIOPHANATE-METHYL","POLYOXINS","得免訂定容許量","保粒黴素","","是"
"保粒保淨",2,"混合劑","POLYOXINS + THIOPHANATE-METHYL","THIOPHANATE-METHYL","法規備註已涵蓋","貝芬替","註二","是"
"甲鋅保粒素",2,"混合劑","PROPINEB + POLYOXIN B","PROPINEB","法規備註已涵蓋","二硫代胺基甲酸鹽類","註一","否"
"甲鋅保粒素",2,"混合劑","PROPINEB + POLYOXIN B","POLYOXIN B","查無對應","","","否"
"發光光桿菌0805-P2R",1,"單一成分","Photorhabdus luminescens 0805-P2R","Photorhabdus luminescens 0805-P2R","查無對應","","","否"
"本達快克草",1,"混合劑","BENTAZON + QUINCLORAC","BENTAZON","英文不同但中文通用名相同","本達隆（附表一作 Bentazone）","待釐清：應以中文通用名或英文名為準","是"
"本達快克草",1,"混合劑","BENTAZON + QUINCLORAC","QUINCLORAC","附表一有訂容許量","快克草（Quinclorac）","","是"
"汰硫免速隆",1,"混合劑","DITHIOPYR + BENSULFURON METHYL","DITHIOPYR","附表一有訂容許量","汰硫草（Dithiopyr）","","是"
"汰硫免速隆",1,"混合劑","DITHIOPYR + BENSULFURON METHYL","BENSULFURON METHYL","附表一有訂容許量","免速隆（Bensulfuron-methyl）","","是"
"滅芬免速隆",1,"混合劑","MEFENACET + BENSULFURONMETHYL","MEFENACET","附表一有訂容許量","滅芬草（Mefenacet）","","是"
"滅芬免速隆",1,"混合劑","MEFENACET + BENSULFURONMETHYL","BENSULFURONMETHYL","附表一有訂容許量","免速隆（Bensulfuron-methyl）","","是"
"銅合腐絕",1,"混合劑","THIABENDAZOLE + COPPER HYDROXIDE","THIABENDAZOLE","附表一有訂容許量","腐絕（Thiabendazole）","","否"
"銅合腐絕",1,"混合劑","THIABENDAZOLE + COPPER HYDROXIDE","COPPER HYDROXIDE","查無對應","","","否"
"傑他賽滅寧",1,"單一成分","ZETA-CYPERMETHRIN","ZETA-CYPERMETHRIN","查無對應","","","否"
"畢克草",1,"單一成分","CLOPYRALID","CLOPYRALID","查無對應","","","否"
"伽瑪賽洛寧",1,"單一成分","GAMMA-CYHALOTHRIN","GAMMA-CYHALOTHRIN","查無對應","","","否"
"鋅錳右本達樂",1,"混合劑","MANCOZEB + BENALAXYL-M","MANCOZEB","法規備註已涵蓋","二硫代胺基甲酸鹽類","註一","否"
"鋅錳右本達樂",1,"混合劑","MANCOZEB + BENALAXYL-M","BENALAXYL-M","查無對應","","","否"
"鋅錳本達樂",1,"混合劑","MANCOZEB + BENALAXYL","MANCOZEB","法規備註已涵蓋","二硫代胺基甲酸鹽類","註一","是"
"鋅錳本達樂",1,"混合劑","MANCOZEB + BENALAXYL","BENALAXYL","附表一有訂容許量","本達樂（Benalaxyl）","","是"
"鋅錳曼普胺",1,"混合劑","MANCOZEB + MANDIPROPAMID","MANCOZEB","法規備註已涵蓋","二硫代胺基甲酸鹽類","註一","是"
"鋅錳曼普胺",1,"混合劑","MANCOZEB + MANDIPROPAMID","MANDIPROPAMID","附表一有訂容許量","曼普胺（Mandipropamid）","","是"
"左固殺草",1,"單一成分","glufosinate-P","glufosinate-P","查無對應","","","否"
"果收生長素",1,"英文名欄位為空","","","英文名欄位為空","","","否"
"伏滅鼠",1,"單一成分","FLOCOUMAFEN","FLOCOUMAFEN","查無對應","","","否"
"可滅鼠",1,"單一成分","BRODIFACOUM","BRODIFACOUM","查無對應","","","否"
"含毒甲基丁香油",1,"單一成分","METHYL EUGENOL-NALED","METHYL EUGENOL-NALED","查無對應","","","否"
"布芬益化利",1,"混合劑","BUPROFEZIN + ESFENVALERATE","BUPROFEZIN","附表一有訂容許量","布芬淨（Buprofezin）","","是"
"布芬益化利",1,"混合劑","BUPROFEZIN + ESFENVALERATE","ESFENVALERATE","法規備註已涵蓋","芬化利","註四之3","是"
"耐克螺",1,"單一成分","NICLOSAMIDE","NICLOSAMIDE","查無對應","","","否"
"丁拉汰草",1,"混合劑","DAIMURON + BUTACHLOR","DAIMURON","英文不同但中文通用名相同","汰草龍（附表一作 Dymron）","待釐清：應以中文通用名或英文名為準","是"
"丁拉汰草",1,"混合劑","DAIMURON + BUTACHLOR","BUTACHLOR","附表一有訂容許量","丁基拉草（Butachlor）","","是"
"甲鋅保淨",1,"混合劑","PROPINEB + THIOPHANATE-METHYL","PROPINEB","法規備註已涵蓋","二硫代胺基甲酸鹽類","註一","是"
"甲鋅保淨",1,"混合劑","PROPINEB + THIOPHANATE-METHYL","THIOPHANATE-METHYL","法規備註已涵蓋","貝芬替","註二","是"
"賽福保淨",1,"混合劑","TRIFLUMIZOLE + THIOPHANATE-METHYL","TRIFLUMIZOLE","附表一有訂容許量","賽福座（Triflumizole）","","是"
"賽福保淨",1,"混合劑","TRIFLUMIZOLE + THIOPHANATE-METHYL","THIOPHANATE-METHYL","法規備註已涵蓋","貝芬替","註二","是"
"二、四－地胺鹽",1,"單一成分","2,4-D(AMINE)","2,4-D(AMINE)","查無對應","","","否"
"二、四－地鈉鹽",1,"單一成分","2,4-D(SODIUM)","2,4-D(SODIUM)","查無對應","","","否"
"生長寧素",1,"混合劑","IBA + NAA + KINETIN","IBA","得免訂定容許量","吲哚丁酸","","否"
"生長寧素",1,"混合劑","IBA + NAA + KINETIN","NAA","查無對應","","","否"
"生長寧素",1,"混合劑","IBA + NAA + KINETIN","KINETIN","查無對應","","","否"
"普拔草",1,"單一成分","PROPAQUIZAFOP","PROPAQUIZAFOP","查無對應","","","否"
"番茄生長素",1,"單一成分","4-CPA","4-CPA","查無對應","","","否"
"合速隆",1,"單一成分","HALOSULFURON-METHYL","HALOSULFURON-METHYL","查無對應","","","否"
"單克素",1,"單一成分","UNICONAZOLE-P","UNICONAZOLE-P","查無對應","","","否"
"開寧激素",1,"單一成分","KINETIN","KINETIN","查無對應","","","否"
"氰滿素",1,"單一成分","CYANAMIDE","CYANAMIDE","查無對應","","","否"
"勃寧激素",1,"混合劑","GIBBERELLIN A4 WITH A7 + 6-BENZYLAMINOPURINE","GIBBERELLIN A4 WITH A7","查無對應","","","否"
"勃寧激素",1,"混合劑","GIBBERELLIN A4 WITH A7 + 6-BENZYLAMINOPURINE","6-BENZYLAMINOPURINE","查無對應","","","否"
"亞培松",1,"單一成分","TEMEPHOS","TEMEPHOS","查無對應","","","否"
"百里酚",1,"單一成分","THYMOL","THYMOL","查無對應","","","否"